                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3244,                 1.1135,                0.89751,                0.86065,                0.93356,                0.88771,                0.62716,                0.99867,                 32.055,                0.75601,               0.067021,             0.00033312,             0.00033312
                      2,                 1.0217,                0.62263,                0.84153,                 0.8732,                 0.9648,                0.89418,                0.68677,                0.79371,                 46.296,                0.73593,               0.034021,             0.00066629,             0.00066629
                      3,                 0.9601,                0.55617,                0.83122,                0.87692,                0.96751,                0.93221,                0.71857,                0.80397,                  42.86,                0.73253,              0.0010202,             0.00099881,             0.00099881
                      4,                0.92781,                0.52958,                0.82618,                0.87908,                 0.9698,                0.91788,                 0.7017,                0.83693,                 44.913,                0.73438,              0.0009978,              0.0009978,              0.0009978
                      5,                 0.9047,                0.51466,                0.82351,                0.87745,                0.97633,                0.94793,                0.74063,                0.78368,                 45.985,                0.73071,              0.0009978,              0.0009978,              0.0009978
                      6,                0.89631,                0.49232,                0.82292,                0.87778,                0.97533,                0.91066,                0.70348,                0.82141,                 47.455,                0.73356,              0.0009961,              0.0009961,              0.0009961
                      7,                0.88461,                0.48866,                0.82101,                0.88026,                 0.9763,                0.92951,                0.72746,                  0.778,                 48.644,                0.72885,             0.00099391,             0.00099391,             0.00099391
                      8,                0.87101,                0.48044,                0.82087,                0.87901,                0.97558,                0.93928,                0.74501,                0.74978,                 46.924,                0.72614,             0.00099123,             0.00099123,             0.00099123
                      9,                 0.8594,                0.47247,                0.81876,                0.88026,                0.97829,                0.94077,                0.74927,                0.74388,                 53.397,                0.72492,             0.00098808,             0.00098808,             0.00098808
                     10,                0.85451,                0.46498,                0.81749,                0.87931,                0.97876,                0.95935,                0.76379,                0.74576,                 48.653,                0.72558,             0.00098445,             0.00098445,             0.00098445
                     11,                0.84576,                0.45794,                0.81688,                 0.8784,                0.97961,                0.92962,                0.73861,                 0.7636,                 51.867,                0.72679,             0.00098035,             0.00098035,             0.00098035
                     12,                0.84358,                0.45818,                0.81641,                0.87982,                0.97973,                0.94239,                0.75223,                0.75817,                 51.919,                0.72583,             0.00097577,             0.00097577,             0.00097577
                     13,                0.84121,                0.45395,                0.81635,                 0.8803,                0.97995,                  0.931,                0.74304,                0.72935,                 52.929,                0.72352,             0.00097074,             0.00097074,             0.00097074
                     14,                 0.8295,                0.44391,                0.81395,                0.88052,                0.98165,                0.93781,                0.75481,                0.73515,                 53.998,                0.72441,             0.00096524,             0.00096524,             0.00096524
                     15,                0.82789,                0.44439,                0.81423,                0.88146,                0.97996,                0.95051,                 0.7591,                0.74703,                 50.544,                0.72472,             0.00095929,             0.00095929,             0.00095929
                     16,                0.82172,                0.43645,                0.81238,                0.88038,                0.98148,                0.94023,                0.75155,                0.74468,                 54.751,                0.72436,             0.00095289,             0.00095289,             0.00095289
                     17,                0.82444,                0.43719,                0.81337,                0.88036,                0.98245,                0.93608,                0.75043,                0.73605,                 53.763,                0.72418,             0.00094605,             0.00094605,             0.00094605
                     18,                0.81495,                0.43456,                0.81174,                0.88273,                 0.9824,                0.93546,                0.75531,                0.72647,                 53.248,                0.72369,             0.00093877,             0.00093877,             0.00093877
                     19,                0.82292,                0.43611,                0.81337,                0.88154,                0.98144,                0.96849,                0.78357,                0.73263,                 54.576,                0.72368,             0.00093107,             0.00093107,             0.00093107
                     20,                0.81515,                0.43217,                0.81166,                0.88055,                 0.9837,                 0.9533,                0.76998,                0.73182,                 51.754,                0.72342,             0.00092294,             0.00092294,             0.00092294
                     21,                0.80583,                0.42714,                0.81151,                0.88156,                0.98369,                0.96967,                0.77977,                0.73409,                 54.232,                0.72381,              0.0009144,              0.0009144,              0.0009144
                     22,                0.80285,                 0.4235,                0.81097,                0.88054,                0.98498,                0.95992,                0.77559,                0.72165,                 55.011,                0.72226,             0.00090546,             0.00090546,             0.00090546
                     23,                0.80629,                0.42754,                0.81146,                0.88273,                0.98178,                 0.9734,                0.78315,                0.73509,                 54.179,                0.72316,             0.00089613,             0.00089613,             0.00089613
                     24,                0.80282,                0.42463,                0.81063,                0.88048,                0.98359,                0.96273,                0.77657,                0.72766,                 55.869,                0.72216,              0.0008864,              0.0008864,              0.0008864
                     25,                0.79652,                0.41913,                0.81075,                0.88167,                0.98518,                0.96085,                0.77906,                0.71137,                  56.85,                0.72137,              0.0008763,              0.0008763,              0.0008763
                     26,                0.79532,                0.41727,                0.80987,                0.88207,                0.98358,                0.96389,                0.77926,                0.72141,                  55.53,                0.72198,             0.00086584,             0.00086584,             0.00086584
                     27,                0.79255,                0.41531,                0.80998,                0.88203,                0.98431,                0.95045,                0.77164,                0.70545,                 55.272,                0.72024,             0.00085502,             0.00085502,             0.00085502
                     28,                0.78833,                 0.4143,                0.80992,                0.88062,                 0.9853,                0.94535,                0.76586,                0.71081,                 54.894,                0.72063,             0.00084385,             0.00084385,             0.00084385
                     29,                0.78755,                0.41255,                0.80942,                0.88123,                0.98438,                 0.9527,                0.77296,                 0.7134,                 57.278,                0.72119,             0.00083235,             0.00083235,             0.00083235
                     30,                0.78379,                0.41011,                0.80834,                0.88031,                0.98607,                0.95294,                 0.7698,                0.71782,                 57.365,                0.72171,             0.00082052,             0.00082052,             0.00082052
                     31,                0.78475,                0.40875,                0.80861,                0.88229,                0.98259,                0.94312,                0.76349,                0.71347,                 57.063,                0.72113,             0.00080839,             0.00080839,             0.00080839
                     32,                0.78138,                0.40674,                0.80898,                 0.8808,                0.98447,                0.95767,                0.77486,                0.71192,                 58.147,                0.72086,             0.00079595,             0.00079595,             0.00079595
                     33,                0.78261,                0.40606,                0.80826,                0.88224,                0.98411,                0.96668,                0.78507,                0.70626,                 56.731,                0.72086,             0.00078323,             0.00078323,             0.00078323
                     34,                0.77772,                0.40546,                0.80799,                0.88254,                 0.9855,                0.95015,                0.77137,                0.71538,                 57.097,                0.72075,             0.00077023,             0.00077023,             0.00077023
                     35,                0.77919,                0.40529,                0.80872,                0.88231,                0.98434,                0.95504,                0.77422,                0.70801,                 57.157,                0.72018,             0.00075698,             0.00075698,             0.00075698
                     36,                0.77234,                 0.4024,                0.80725,                0.88284,                 0.9833,                0.95309,                 0.7731,                0.71683,                 58.611,                0.72069,             0.00074347,             0.00074347,             0.00074347
                     37,                0.77083,                0.39952,                0.80705,                0.88273,                0.98352,                0.94386,                0.76116,                0.73044,                 58.961,                0.72183,             0.00072973,             0.00072973,             0.00072973
                     38,                0.76584,                0.39774,                0.80656,                0.88183,                0.98477,                0.96029,                0.77837,                0.71991,                 59.619,                0.72092,             0.00071576,             0.00071576,             0.00071576
                     39,                0.76387,                0.39429,                0.80685,                0.88171,                0.98496,                 0.9421,                0.76076,                0.72357,                 60.548,                0.72129,             0.00070159,             0.00070159,             0.00070159
                     40,                0.76663,                0.39643,                0.80661,                0.88222,                0.98474,                 0.9511,                0.77311,                 0.7218,                 60.101,                0.72101,             0.00068722,             0.00068722,             0.00068722
                     41,                 0.7588,                0.39203,                0.80649,                0.88258,                0.98459,                0.94795,                0.77049,                0.71103,                 60.013,                0.72055,             0.00067268,             0.00067268,             0.00067268
                     42,                0.75772,                0.38962,                0.80577,                0.88298,                 0.9842,                0.95398,                0.77787,                0.71035,                 61.308,                0.72056,             0.00065796,             0.00065796,             0.00065796
                     43,                0.75404,                0.38861,                0.80521,                0.88142,                0.98574,                0.95523,                0.77708,                0.71425,                 60.476,                0.72074,              0.0006431,              0.0006431,              0.0006431
                     44,                0.75141,                0.38594,                0.80432,                0.88203,                0.98475,                 0.9452,                0.77036,                0.71333,                 61.745,                0.72068,              0.0006281,              0.0006281,              0.0006281
                     45,                0.74904,                0.38255,                0.80476,                0.88221,                0.98539,                0.95423,                 0.7781,                0.70688,                 61.727,                0.71999,             0.00061298,             0.00061298,             0.00061298
                     46,                0.74858,                0.38303,                0.80528,                0.88305,                0.98484,                0.96673,                0.79238,                0.70051,                 60.928,                0.71958,             0.00059775,             0.00059775,             0.00059775
